DATE,DGS2
1989-01-01,9.1755
1989-02-01,9.371578947
1989-03-01,9.679545455
1989-04-01,9.4515
1989-05-01,9.017727273
1989-06-01,8.406363636
1989-07-01,7.8195
1989-08-01,8.144782609
1989-09-01,8.2845
1989-10-01,7.979047619
1989-11-01,7.795714286
1989-12-01,7.777
1990-01-01,8.085238095
1990-02-01,8.370526316
1990-03-01,8.626818182
1990-04-01,8.724
1990-05-01,8.642272727
1990-06-01,8.350952381
1990-07-01,8.157142857
1990-08-01,8.061304348
1990-09-01,8.079473684
1990-10-01,7.877727273
1990-11-01,7.5985
1990-12-01,7.314
1991-01-01,7.125238095
1991-02-01,6.866842105
1991-03-01,7.103
1991-04-01,6.948181818
1991-05-01,6.783636364
1991-06-01,6.956
1991-07-01,6.917727273
1991-08-01,6.433181818
1991-09-01,6.1815
1991-10-01,5.912272727
1991-11-01,5.558947368
1991-12-01,5.025714286
1992-01-01,4.958095238
1992-02-01,5.212105263
1992-03-01,5.685
1992-04-01,5.344285714
1992-05-01,5.2255
1992-06-01,5.048181818
1992-07-01,4.355454545
1992-08-01,4.192857143
1992-09-01,3.894285714
1992-10-01,4.082857143
1992-11-01,4.579473684
1992-12-01,4.673636364
1993-01-01,4.39
1993-02-01,4.098421053
1993-03-01,3.949565217
1993-04-01,3.837619048
1993-05-01,3.977
1993-06-01,4.163636364
1993-07-01,4.071904762
1993-08-01,4.001363636
1993-09-01,3.847142857
1993-10-01,3.8745
1993-11-01,4.1555
1993-12-01,4.212272727
1994-01-01,4.14
1994-02-01,4.474210526
1994-03-01,4.995217391
1994-04-01,5.549473684
1994-05-01,5.968095238
1994-06-01,5.931363636
1994-07-01,6.13
1994-08-01,6.177391304
1994-09-01,6.392380952
1994-10-01,6.7285
1994-11-01,7.1485
1994-12-01,7.58952381
1995-01-01,7.507
1995-02-01,7.111578947
1995-03-01,6.775652174
1995-04-01,6.567894737
1995-05-01,6.170909091
1995-06-01,5.715909091
1995-07-01,5.78
1995-08-01,5.980869565
1995-09-01,5.806
1995-10-01,5.697142857
1995-11-01,5.479047619
1995-12-01,5.3245
1996-01-01,5.112380952
1996-02-01,5.0255
1996-03-01,5.660952381
1996-04-01,5.957272727
1996-05-01,6.095
1996-06-01,6.297
1996-07-01,6.27
1996-08-01,6.029090909
1996-09-01,6.234
1996-10-01,5.912727273
1996-11-01,5.701578947
1996-12-01,5.781904762
1997-01-01,6.008095238
1997-02-01,5.898421053
1997-03-01,6.222
1997-04-01,6.448181818
1997-05-01,6.276666667
1997-06-01,6.094761905
1997-07-01,5.890909091
1997-08-01,5.939047619
1997-09-01,5.881904762
1997-10-01,5.771818182
1997-11-01,5.712777778
1997-12-01,5.715
1998-01-01,5.357
1998-02-01,5.417894737
1998-03-01,5.561363636
1998-04-01,5.564285714
1998-05-01,5.5935
1998-06-01,5.52
1998-07-01,5.458181818
1998-08-01,5.268571429
1998-09-01,4.666190476
1998-10-01,4.091904762
1998-11-01,4.54
1998-12-01,4.506363636
1999-01-01,4.615263158
1999-02-01,4.876315789
1999-03-01,5.053043478
1999-04-01,4.976818182
1999-05-01,5.2545
1999-06-01,5.618636364
1999-07-01,5.554761905
1999-08-01,5.678181818
1999-09-01,5.661904762
1999-10-01,5.8625
1999-11-01,5.862
1999-12-01,6.104545455
2000-01-01,6.44
2000-02-01,6.6105
2000-03-01,6.52826087
2000-04-01,6.403684211
2000-05-01,6.809545455
2000-06-01,6.481818182
2000-07-01,6.339
2000-08-01,6.228695652
2000-09-01,6.0815
2000-10-01,5.912380952
2000-11-01,5.875238095
2000-12-01,5.352
2001-01-01,4.76
2001-02-01,4.656842105
2001-03-01,4.342272727
2001-04-01,4.234
2001-05-01,4.26
2001-06-01,4.08
2001-07-01,4.038571429
2001-08-01,3.757391304
2001-09-01,3.118823529
2001-10-01,2.725909091
2001-11-01,2.7825
2001-12-01,3.107
2002-01-01,3.028095238
2002-02-01,3.015263158
2002-03-01,3.5575
2002-04-01,3.422727273
2002-05-01,3.264090909
2002-06-01,2.993
2002-07-01,2.556818182
2002-08-01,2.133636364
2002-09-01,2.0045
2002-10-01,1.911818182
2002-11-01,1.923157895
2002-12-01,1.836190476
2003-01-01,1.743333333
2003-02-01,1.627894737
2003-03-01,1.573809524
2003-04-01,1.622380952
2003-05-01,1.415238095
2003-06-01,1.227142857
2003-07-01,1.474090909
2003-08-01,1.864285714
2003-09-01,1.706190476
2003-10-01,1.747727273
2003-11-01,1.926666667
2003-12-01,1.907272727
2004-01-01,1.761
2004-02-01,1.74
2004-03-01,1.577826087
2004-04-01,2.070952381
2004-05-01,2.5335
2004-06-01,2.763333333
2004-07-01,2.638571429
2004-08-01,2.508181818
2004-09-01,2.525238095
2004-10-01,2.5845
2004-11-01,2.852
2004-12-01,3.011818182
2005-01-01,3.2225
2005-02-01,3.384736842
2005-03-01,3.726818182
2005-04-01,3.653809524
2005-05-01,3.643809524
2005-06-01,3.640454545
2005-07-01,3.871
2005-08-01,4.044347826
2005-09-01,3.946190476
2005-10-01,4.271
2005-11-01,4.4165
2005-12-01,4.404285714
2006-01-01,4.3955
2006-02-01,4.668421053
2006-03-01,4.733913043
2006-04-01,4.888947368
2006-05-01,4.968181818
2006-06-01,5.121818182
2006-07-01,5.1185
2006-08-01,4.903478261
2006-09-01,4.769
2006-10-01,4.795714286
2006-11-01,4.74047619
2006-12-01,4.6735
2007-01-01,4.876190476
2007-02-01,4.848947368
